Date,Close,Open,Volume,Num Arrests,Mean.TemperatureF,PrecipitationIn,Events,season,Year,Week,Month
2014-03-07,1878.040039,1878.52002,3564740000,1444,32.0,T,Rain,Winter,2014,10,3
2014-03-10,1877.1700440000002,1877.859985,3021350000,939,43.0,T,Rain-Snow,Winter,2014,11,3
2014-03-11,1867.630005,1878.2600100000002,3392400000,1251,52.0,0.00,,Winter,2014,11,3
2014-03-12,1868.199951,1866.1500239999998,3270860000,1417,46.0,0.15,Rain,Winter,2014,11,3
2014-03-13,1846.339966,1869.060059,3670990000,1300,26.0,0.00,,Winter,2014,11,3
2014-03-14,1841.130005,1845.069946,3285460000,1439,32.0,0.00,,Winter,2014,11,3
2014-03-17,1858.8299559999998,1842.810059,2860490000,828,30.0,T,Snow,Winter,2014,12,3
2014-03-18,1872.25,1858.9200440000002,2930190000,1299,34.0,0.00,,Winter,2014,12,3
2014-03-19,1860.77002,1872.25,3289210000,1316,37.0,0.72,Rain,Winter,2014,12,3
2014-03-20,1872.0100100000002,1860.089966,3327540000,1499,49.0,T,Rain,Spring,2014,12,3
2014-03-21,1866.52002,1874.530029,5270710000,1478,44.0,0.00,,Spring,2014,12,3
2014-03-24,1857.439941,1867.6700440000002,3409000000,841,29.0,0.00,,Spring,2014,13,3
2014-03-25,1865.619995,1859.47998,3200560000,1265,31.0,T,Snow,Spring,2014,13,3
2014-03-26,1852.560059,1867.089966,3480850000,1303,32.0,T,Snow,Spring,2014,13,3
2014-03-27,1849.040039,1852.109985,3733430000,1360,31.0,0.00,,Spring,2014,13,3
2014-03-28,1857.619995,1850.069946,2955520000,1354,44.0,T,Rain,Spring,2014,13,3
2014-03-31,1872.339966,1859.160034,3274300000,774,45.0,0.21,Rain-Snow,Spring,2014,14,3
2014-04-01,1885.52002,1873.959961,3336190000,1392,47.0,0.00,,Spring,2014,14,4
2014-04-02,1890.9000239999998,1886.609985,3131660000,1481,43.0,0.03,Rain,Spring,2014,14,4
2014-04-03,1888.77002,1891.430054,3055600000,1449,51.0,0.08,Rain,Spring,2014,14,4
2014-04-04,1865.089966,1890.25,3583750000,1381,43.0,0.10,Rain,Spring,2014,14,4
2014-04-07,1845.040039,1863.9200440000002,3801540000,846,44.0,0.35,Rain,Spring,2014,15,4
2014-04-08,1851.959961,1845.47998,3721450000,1316,57.0,0.25,Fog-Rain-Thunderstorm,Spring,2014,15,4
2014-04-09,1872.180054,1852.640015,3308650000,1435,54.0,0.00,,Spring,2014,15,4
2014-04-10,1833.0799559999998,1872.280029,3758780000,1523,46.0,0.00,,Spring,2014,15,4
2014-04-11,1815.689941,1830.6500239999998,3743460000,1402,58.0,T,Rain,Spring,2014,15,4
2014-04-14,1830.609985,1818.180054,3111540000,653,59.0,0.00,Fog,Spring,2014,16,4
2014-04-15,1842.97998,1831.449951,3736440000,1056,45.0,0.65,Fog-Rain-Snow,Spring,2014,16,4
2014-04-16,1862.310059,1846.0100100000002,3155080000,1436,41.0,0.08,Rain-Snow,Spring,2014,16,4
2014-04-17,1864.8499760000002,1861.72998,3341430000,1356,41.0,0.00,,Spring,2014,16,4
2014-04-21,1871.890015,1865.790039,2642500000,884,48.0,0.00,,Spring,2014,17,4
2014-04-22,1879.550049,1872.569946,3215440000,1217,54.0,T,Rain,Spring,2014,17,4
2014-04-23,1875.390015,1879.319946,3085720000,1450,54.0,0.00,,Spring,2014,17,4
2014-04-24,1878.609985,1881.969971,3191830000,1314,54.0,0.00,,Spring,2014,17,4
2014-04-25,1863.4000239999998,1877.719971,3213020000,1334,51.0,T,Rain,Spring,2014,17,4
2014-04-28,1869.430054,1865.0,4034680000,847,56.0,0.00,,Spring,2014,18,4
2014-04-29,1878.3299559999998,1870.780029,3647820000,1005,48.0,0.05,Rain,Spring,2014,18,4
2014-04-30,1883.949951,1877.0999760000002,3779230000,791,49.0,4.68,Rain,Spring,2014,18,4
2014-05-01,1883.680054,1884.390015,3416740000,1408,62.0,0.24,Fog-Rain,Spring,2014,18,5
2014-05-02,1881.140015,1885.300049,3159560000,1500,61.0,0.01,Rain,Spring,2014,18,5
2014-05-05,1884.660034,1879.449951,2733730000,879,60.0,0.00,,Spring,2014,19,5
2014-05-06,1867.719971,1883.689941,3327260000,1409,60.0,0.00,,Spring,2014,19,5
2014-05-07,1878.209961,1868.530029,3632950000,1566,57.0,0.00,,Spring,2014,19,5
2014-05-08,1875.630005,1877.390015,3393420000,1378,55.0,0.38,Rain,Spring,2014,19,5
2014-05-09,1878.47998,1875.27002,3025020000,1388,60.0,0.04,Fog-Rain-Thunderstorm,Spring,2014,19,5
2014-05-12,1896.6500239999998,1880.030029,3005740000,890,66.0,0.00,,Spring,2014,20,5
2014-05-13,1897.449951,1896.75,2915680000,1343,61.0,0.00,,Spring,2014,20,5
2014-05-14,1888.530029,1897.130005,2822060000,1408,57.0,T,,Spring,2014,20,5
2014-05-15,1870.8499760000002,1888.160034,3552640000,1478,66.0,0.14,Rain,Spring,2014,20,5
2014-05-16,1877.859985,1871.189941,3173650000,1248,63.0,1.26,Rain,Spring,2014,20,5
2014-05-19,1885.0799559999998,1876.660034,2664250000,907,62.0,0.00,,Spring,2014,21,5
