Year,Week,Close,Num Arrests,Mean.TemperatureF,Month
2011,4,1290.906006,1078.0,27.4,1.0
2011,5,1303.1419922,1218.4,28.8,1.8
2011,6,1323.1040037999999,1329.4,28.4,2.0
2011,7,1336.0179931999999,1431.0,43.2,2.0
2011,8,1312.2049865,1286.5,33.75,2.0
2011,9,1318.8219726,1381.2,38.4,2.8
2011,10,1310.2719969999998,1350.2,42.4,3.0
2011,11,1277.6139894,1316.8,48.8,3.0
2011,12,1302.6300294,1301.6,40.4,3.0
2011,13,1323.2259764000003,1229.4,40.4,3.2
2011,14,1332.5440186,1424.4,46.8,4.0
2011,15,1317.4460205999999,1416.2,52.8,4.0
2011,16,1321.375,1308.0,53.25,4.0
2011,17,1352.4479978000002,1207.0,60.8,4.0
2011,18,1348.0919678000002,1348.6,56.8,5.0
2011,19,1346.3900146,1424.4,61.2,5.0
2011,20,1335.2000002,1289.6,62.4,5.0
2011,21,1322.1819824,1343.6,67.8,5.0
2011,22,1318.21249375,1373.0,73.5,5.75
2011,23,1282.1300048,1289.8,76.4,6.0
2011,24,1272.852002,1306.8,69.8,6.0
2011,25,1282.5939942,1247.2,71.4,6.0
2011,26,1308.8980225999999,1186.6,76.4,6.2
2011,27,1343.5299989999999,1360.75,79.75,7.0
2011,28,1315.1719972,1260.0,80.2,7.0
2011,29,1329.3659911999998,1189.0,83.4,7.0
2011,30,1313.4420166,1154.4,77.6,7.0
2011,31,1240.1559814,1213.0,78.0,8.0
2011,32,1152.8400148,1202.4,78.6,8.0
2011,33,1171.0640135999997,1247.4,74.6,8.0
2011,34,1159.9679934,1202.8,74.2,8.0
2011,35,1204.056006,1144.2,71.6,8.4
2011,36,1175.99749725,1061.0,71.5,9.0
2011,37,1189.7880128000002,1109.6,69.2,9.0
2011,38,1167.7860110000001,1101.0,67.4,9.0
2011,39,1156.2420166,1122.0,71.0,9.0
2011,40,1137.5279784000002,1270.8,57.6,10.0
2011,41,1205.1840088000001,1071.2,66.6,10.0
2011,42,1217.952002,1304.2,61.2,10.0
2011,43,1258.9839843999998,1192.8,52.0,10.0
2011,44,1244.7720212,1245.2,47.8,10.8
2011,45,1253.9379883999998,1230.4,53.6,11.0
2011,46,1235.6560302000003,1167.2,52.8,11.0
2011,47,1175.3700254999999,1032.5,50.75,11.0
2011,48,1224.7119871999998,1282.4,51.0,11.4
2011,49,1253.2199708,1190.6,47.8,12.0
2011,50,1221.8859862000002,1182.2,44.2,12.0
2011,51,1241.9399903999997,927.2,45.4,12.0
